Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Spark advance at Wide Open Throttle (Main);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;$78A4;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle (Same as Main);;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;$7924;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection (Limp);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$6BD6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection (Main);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$69D6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$6AD6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$329D6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$32AD6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;2;0;0;-;%;0.78125;-100;$32BD6;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;$337A4;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;$338A4;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
